郵遞區號,客戶數,流失數,平均營收,人口估計,滲透率,流失率
90263,5,1,3649.04,11,45.45454545454545,20.0
90265,5,1,2653.7619999999997,19630,0.025471217524197655,20.0
90266,5,0,848.5840000000001,33758,0.014811303987203032,0.0
90064,5,0,5544.442000000001,24505,0.020403999183840033,0.0
90065,5,1,1598.6,47534,0.010518786552783271,20.0
90066,5,2,2715.2,55204,0.009057314687341498,40.0
90067,5,0,3954.504,2527,0.19786307874950534,0.0
90068,5,1,1725.002,21728,0.023011782032400587,20.0
90069,5,1,4064.2239999999997,20408,0.02450019600156801,20.0
90071,5,2,3343.722,21,23.809523809523807,40.0
90290,5,1,4846.004,5451,0.091726288754357,20.0
90291,5,1,7736.7880000000005,31021,0.016118113535991747,20.0
90292,5,3,2786.536,18058,0.027688559087385094,60.0
90293,5,0,3855.228,11264,0.044389204545454544,0.0
90301,5,1,2615.966,37527,0.013323740240360274,20.0
90302,5,1,2768.5780000000004,30779,0.01624484226258163,20.0
90303,5,2,1900.354,27778,0.01799985600115199,40.0
90304,5,1,2691.2599999999998,28680,0.017433751743375175,20.0
90305,5,0,4628.352000000001,13779,0.03628710356339357,0.0
90232,5,1,1063.1799999999998,15195,0.03290556103981573,20.0
90240,5,1,1418.524,24908,0.02007387184840212,20.0
90241,5,1,5036.382,40152,0.012452679816696554,20.0
90242,5,1,2172.56,42459,0.01177606632280553,20.0
90245,5,1,3596.0440000000003,16041,0.031170126550713797,20.0
90247,5,0,2892.032,47758,0.010469450144478412,0.0
90248,5,1,2046.0760000000002,9960,0.0502008032128514,20.0
90503,5,1,3854.6440000000002,41979,0.011910717263393602,20.0
90504,5,2,3479.9739999999997,31678,0.01578382473641013,40.0
90505,5,1,4152.72,34873,0.014337739798698132,20.0
90601,5,0,4589.969999999999,32050,0.015600624024960999,0.0
90602,5,2,3537.376,26265,0.019036740909956214,40.0
90603,5,1,5405.942,19109,0.026165681092678843,20.0
90604,5,0,3877.472,37887,0.01319713886029509,0.0
90605,5,1,3688.9199999999996,38181,0.013095518713496243,20.0
90606,5,1,4672.074,32148,0.015553067064825182,20.0
90270,5,0,3075.9900000000002,28094,0.017797394461450844,0.0
90272,5,2,2754.638,22548,0.022174915735320207,40.0
90274,5,0,2199.038,24979,0.020016814123864045,0.0
90275,5,0,3523.3899999999994,41263,0.012117393306351937,0.0
90277,5,1,2101.8959999999997,34191,0.014623731391301804,20.0
90278,5,0,2670.828,37322,0.013396924066234392,0.0
90280,5,0,6816.37,96267,0.005193887832798363,0.0
90650,5,0,3256.108,103214,0.004844304067277695,0.0
90660,5,2,3270.8239999999996,63288,0.007900391859436228,40.0
90670,5,1,3821.558,16271,0.03072951877573597,20.0
90680,5,1,2550.462,29694,0.016838418535731127,20.0
90701,5,0,5955.396,16398,0.030491523356506893,0.0
90703,5,1,1254.154,51556,0.009698192256963303,20.0
90704,5,2,424.116,3699,0.13517166801838335,40.0
90706,5,2,2655.204,72893,0.006859369212407227,40.0
90710,5,2,2950.714,24660,0.020275750202757504,40.0
90401,5,0,3905.046,5221,0.0957670944263551,0.0
90402,5,1,3837.1400000000003,11509,0.04344426101312017,20.0
90403,5,2,3086.834,23559,0.021223311685555413,40.0
90404,5,0,6209.66,19975,0.025031289111389236,0.0
90405,5,2,3053.672,26099,0.019157822138779264,40.0
90501,5,2,2233.046,40705,0.012283503255128362,40.0
90502,5,2,1878.7960000000003,17058,0.029311759878063077,40.0
90731,5,1,5002.969999999999,58639,0.008526748409761422,20.0
90732,5,1,4978.842,21279,0.023497344800037595,20.0
90740,5,2,3377.382,24180,0.0206782464846981,40.0
90742,5,2,1381.246,1107,0.45167118337850043,40.0
90743,5,0,4039.578,174,2.8735632183908044,0.0
90744,5,0,4683.197999999999,53323,0.00937681675824691,0.0
90745,5,2,2855.656,55486,0.009011282125220777,40.0
90746,5,0,1231.2320000000002,25566,0.01955722443870766,0.0
90802,5,2,3826.2580000000003,38427,0.013011684492674421,40.0
90620,5,2,3102.7,44442,0.011250618784033122,40.0
90621,5,2,2068.948,33528,0.014912908613696015,40.0
90623,5,3,4835.476000000001,15505,0.032247662044501774,60.0
90630,5,0,2928.156,47344,0.010561000337952011,0.0
90631,5,2,1585.362,67354,0.007423464085280756,40.0
90638,5,0,2554.9559999999997,47568,0.010511268079381096,0.0
90640,5,1,4056.096,62425,0.008009611533840609,20.0
90813,5,1,4185.604,63136,0.007919412062848455,20.0
90814,5,1,3709.5440000000003,19034,0.02626878217925817,20.0
90815,5,0,3135.902,38902,0.012852809624183847,0.0
90822,5,1,3471.072,425,1.1764705882352942,20.0
91001,5,1,1896.968,36243,0.01379576745854372,20.0
91006,5,0,1852.1860000000001,30028,0.016651125616091646,0.0
91007,5,1,2188.838,30933,0.016163967284130217,20.0
91010,5,2,1011.8279999999999,27414,0.018238856058947983,40.0
91011,5,1,4736.012000000001,20200,0.024752475247524754,20.0
90713,5,2,3384.0199999999995,27563,0.018140260494140695,40.0
90715,5,0,4411.686,20890,0.023934897079942556,0.0
90716,5,1,4143.136,14852,0.033665499596014004,20.0
90717,5,2,3180.172,21065,0.023736055067647758,40.0
90720,5,1,3179.334,21343,0.023426884692873542,20.0
90723,5,1,4017.142,55306,0.009040610422015694,20.0
91103,5,2,2652.0919999999996,27891,0.01792692983399663,40.0
91104,5,1,2574.7799999999997,38460,0.013000520020800833,20.0
91105,5,2,1977.0019999999997,10253,0.048766214766409834,40.0
91106,5,1,2712.546,23742,0.02105972538118103,20.0
91107,5,3,2513.426,32369,0.015446878185918625,60.0
91108,5,2,1300.7440000000001,13158,0.037999696002431985,40.0
91201,5,0,2274.812,23981,0.020849839456236186,0.0
91202,5,2,1308.556,21990,0.022737608003638016,40.0
91203,5,2,1677.262,14493,0.03449941350997033,40.0
90803,5,0,1223.096,31352,0.015947945904567492,0.0
90804,5,2,2119.43,43467,0.011502979271631353,40.0
90805,5,1,3622.4919999999997,91664,0.005454704136847618,20.0
90806,5,0,4183.836,49647,0.01007110197997865,0.0
90807,5,2,2027.6799999999998,31556,0.015844847255672454,40.0
90808,5,2,3646.9899999999993,37417,0.013362909907261406,40.0
90810,5,3,2035.52,35656,0.014022885348889387,60.0
91302,5,0,2821.756,23661,0.021131820295000214,0.0
91303,5,1,2423.898,23519,0.021259407287724817,20.0
91304,5,2,2802.674,49242,0.010153933633889767,40.0
91306,5,1,3748.5699999999997,43857,0.011400688601591536,20.0
91307,5,0,3467.19,23637,0.02115327664255193,0.0
91311,5,1,2092.9300000000003,35325,0.014154281670205238,20.0
91316,5,1,2192.5,27614,0.018106757441877307,20.0
91320,5,0,2312.852,37779,0.01323486593080812,0.0
91321,5,1,6146.3,30742,0.01626439398867998,20.0
91016,5,1,1911.4559999999997,41067,0.012175225850439526,20.0
91020,5,1,3543.4739999999997,7527,0.06642752756742394,20.0
91024,5,1,3453.4,10558,0.04735745406326956,20.0
91030,5,3,2273.156,23984,0.02084723148765844,60.0
91040,5,1,4915.702,18752,0.02666382252559727,20.0
91042,5,3,2492.838,26753,0.018689492767166298,60.0
91101,5,0,3817.9920000000006,16812,0.029740661432310255,0.0
91343,5,1,2984.296,57017,0.008769314414999035,20.0
91344,5,1,2752.882,48867,0.010231853807272802,20.0
91345,5,2,3563.2419999999997,17112,0.029219261337073397,40.0
91350,5,2,1370.94,40077,0.012475983731317215,40.0
91351,5,2,2851.25,59259,0.008437536914224,40.0
91352,5,1,4254.951999999999,46639,0.010720641523188747,20.0
91354,5,1,2991.25,17846,0.028017482909335426,20.0
91355,5,2,2365.144,24977,0.0200184169435881,40.0
91356,5,2,4143.732,27424,0.01823220536756126,40.0
91204,5,2,4055.69,17015,0.02938583602703497,40.0
91205,5,1,1691.872,41390,0.012080212611741966,20.0
91206,5,3,1282.152,31297,0.015975972137904592,60.0
91207,5,2,2596.7400000000002,9864,0.05068937550689375,40.0
91208,5,1,3268.4260000000004,16910,0.029568302779420463,20.0
91214,5,0,3284.81,29110,0.017176228100309172,0.0
91301,5,2,2128.3759999999997,25303,0.01976050270718887,40.0
91384,5,2,4628.812,22177,0.022545880867565496,40.0
91401,5,1,2746.2259999999997,40376,0.012383594214384784,20.0
91403,5,1,2922.6440000000002,22085,0.022639800769753225,20.0
91405,5,0,4169.429999999999,51348,0.009737477603801512,0.0
91406,5,0,1247.892,50047,0.00999060882770196,0.0
91411,5,3,2610.77,23646,0.02114522540810285,60.0
91423,5,3,2476.078,29387,0.01701432606254466,60.0
91436,5,0,2626.434,13129,0.03808363165511463,0.0
91501,5,3,3409.8779999999997,18112,0.02760600706713781,60.0
91324,5,1,4116.482,25751,0.01941672168071143,20.0
91325,5,1,2435.3900000000003,32307,0.015476522115950105,20.0
91326,5,1,2790.802,28067,0.01781451526703958,20.0
91331,5,2,652.038,97318,0.0051377956801413925,40.0
91335,5,2,3091.9,68018,0.0073509953247669745,40.0
91340,5,1,903.152,33389,0.014974991763754528,20.0
91342,5,1,3908.2019999999998,81986,0.006098602200375674,20.0
90039,5,2,2143.4120000000003,29310,0.0170590242238144,40.0
91606,5,1,3369.096,45358,0.011023413730764143,20.0
91607,5,1,3593.358,27453,0.01821294576184752,20.0
91701,5,0,6182.382,39064,0.012799508498873641,0.0
91702,5,1,5411.958,57775,0.008654262224145393,20.0
91706,5,0,6998.942,76890,0.006502796202367018,0.0
91709,5,0,4987.5740000000005,66754,0.007490187853911376,0.0
91710,5,2,3522.95,75319,0.006638431205937413,40.0
91711,5,2,3596.6159999999995,34716,0.014402580942504897,40.0
91360,5,1,2642.27,42526,0.011757513050839486,20.0
91361,5,1,1809.514,18735,0.02668801708033093,20.0
91362,5,1,3049.82,33057,0.015125389478779077,20.0
91364,5,0,2859.078,25988,0.019239649068800983,0.0
91367,5,1,2271.1040000000003,36123,0.013841596766602996,20.0
91377,5,0,4629.755999999999,14814,0.03375185635209937,0.0
91381,5,2,958.494,9937,0.05031699708161417,40.0
91733,5,1,4047.2,45645,0.010954102311315588,20.0
91737,5,2,1654.2720000000002,23079,0.021664716842150874,40.0
91739,5,1,2536.728,12937,0.03864883667001623,20.0
91740,5,1,2690.592,25135,0.019892580067634773,20.0
91741,5,1,2447.858,24973,0.02002162335322148,20.0
91745,5,1,2929.972,53686,0.009313415043027977,20.0
91746,5,3,2319.874,30802,0.016232712161547952,60.0
91748,5,3,2915.564,46342,0.010789348754909153,60.0
91750,5,0,3615.976,35530,0.014072614691809739,0.0
90038,5,1,5275.08,32562,0.015355322154658806,20.0
91502,5,2,4932.498,11517,0.04341408352869671,40.0
91504,5,1,1336.058,25882,0.019318445251526158,20.0
91505,5,0,2034.5040000000001,29245,0.017096939647803042,0.0
91506,5,0,4142.447999999999,18539,0.02697017099088408,0.0
91602,5,0,3159.1839999999997,16996,0.029418686749823487,0.0
91604,5,0,1539.8020000000001,26157,0.019115341973467908,0.0
91764,5,2,1069.4720000000002,49474,0.010106318470307636,40.0
91765,5,0,2677.2940000000003,46532,0.010745293561420097,0.0
91766,5,1,2222.552,69974,0.007145511189870524,20.0
91767,5,2,3630.9440000000004,46626,0.010723630592373355,40.0
91768,5,2,4755.838,36057,0.013866932911778571,40.0
91770,5,3,3528.3360000000002,61623,0.008113853593625757,60.0
90037,5,2,1222.2900000000002,56709,0.008816942636971204,40.0
91776,5,1,1504.35,38041,0.013143713361899003,20.0
92301,5,1,3647.0979999999995,18980,0.026343519494204423,20.0
92304,5,1,2915.228,42,11.904761904761903,20.0
91722,5,2,1730.718,33817,0.014785462932844428,40.0
91723,5,1,2984.278,17554,0.028483536515893814,20.0
91724,5,0,4299.904,25068,0.019945747566618797,0.0
91730,5,1,4404.214,51970,0.009620935154897056,20.0
91731,5,3,2950.0060000000003,30211,0.01655026314918407,60.0
91732,5,3,2504.6639999999998,62660,0.007979572294924991,60.0
91786,5,0,1752.86,48827,0.010240235935035943,0.0
91789,5,2,1321.176,45118,0.011082051509375416,40.0
91790,5,1,3127.95,44099,0.011338125581078936,20.0
91791,5,1,4809.54,30458,0.01641604832884628,20.0
91792,5,1,2287.692,31622,0.015811776611220036,20.0
91803,5,2,1088.94,30635,0.016321201240411295,40.0
91901,5,3,2275.8720000000003,16486,0.030328763799587526,60.0
91911,5,0,2546.1079999999997,71126,0.007029778140201896,0.0
91913,5,0,2739.732,12884,0.0388078236572493,0.0
91752,5,1,2169.698,18980,0.026343519494204423,20.0
91754,5,1,4761.794,33280,0.015024038461538462,20.0
91755,5,0,7006.474,26933,0.018564586195373704,0.0
91759,5,0,1725.712,47,10.638297872340425,0.0
91761,5,1,1827.35,56280,0.008884150675195452,20.0
91762,5,1,4395.39,54254,0.009215910347624139,20.0
91763,5,1,4055.782,34447,0.014515052109037073,20.0
91916,5,0,3569.8839999999996,1587,0.315059861373661,0.0
91941,5,0,3103.73,44652,0.01119770670966586,0.0
91942,5,1,3895.874,24005,0.02082899395959175,20.0
91945,5,0,6768.606,24961,0.020031248748046952,0.0
91950,5,0,3554.31,62355,0.008018603159329644,0.0
91962,5,0,2762.77,1604,0.3117206982543641,0.0
92242,5,0,2734.9880000000003,1564,0.319693094629156,0.0
92243,5,1,3063.062,43712,0.011438506588579795,20.0
92249,5,2,3546.3720000000003,3535,0.14144271570014144,40.0
92260,5,0,3207.002,29340,0.017041581458759374,0.0
92264,5,1,2525.6220000000003,18884,0.026477441220080493,20.0
92266,5,0,5259.196,291,1.718213058419244,0.0
92268,5,0,6274.476000000001,354,1.4124293785310735,0.0
92270,5,2,2858.948,12465,0.04011231448054552,40.0
91780,5,0,2711.954,32718,0.015282107708295127,0.0
91784,5,0,1428.9940000000001,23331,0.02143071450002143,0.0
91963,5,0,5113.589999999999,905,0.5524861878453038,0.0
91977,5,1,2992.4559999999997,56100,0.008912655971479501,20.0
91978,5,1,2581.028,7863,0.06358896095637798,20.0
91980,5,0,5602.832,91,5.4945054945054945,0.0
92067,5,0,2849.4919999999997,7615,0.06565988181221273,0.0
92070,5,0,4130.464,1143,0.4374453193350831,0.0
92220,5,1,3549.1,25859,0.019335627827835572,20.0
92223,5,1,4936.5160000000005,17721,0.028215112013994695,20.0
92227,5,1,4891.31,23394,0.02137300162434812,20.0
92275,5,0,2178.0,799,0.6257822277847309,0.0
92276,5,1,475.014,6242,0.08010253123998719,20.0
92278,5,1,3837.5020000000004,14104,0.03545093590470788,20.0
92282,5,2,5715.8099999999995,805,0.6211180124223602,40.0
92284,5,0,2474.938,20486,0.024406912037489018,0.0
92239,5,2,3141.54,964,0.5186721991701244,40.0
92241,5,2,2515.5919999999996,5529,0.09043226623259179,40.0
90036,5,1,943.0040000000001,32901,0.015197106470927934,20.0
92025,5,0,2306.76,49281,0.01014589801343317,0.0
90035,5,0,1850.0040000000001,27799,0.01798625849850714,0.0
90034,5,0,2594.9919999999997,58218,0.008588409083101448,0.0
92054,5,0,2069.33,98239,0.0050896283553374935,0.0
90033,5,1,5386.226000000001,49431,0.01011510995124517,20.0
92123,5,1,2362.634,25232,0.019816106531388714,20.0
92124,5,1,3860.9,30206,0.016553002714692445,20.0
92120,5,1,4596.536,25569,0.019554929797802028,20.0
92253,5,1,1969.1560000000002,23971,0.020858537399357557,20.0
92254,5,0,4649.882,8768,0.05702554744525547,0.0
92256,5,0,4043.6880000000006,3499,0.14289797084881395,0.0
92131,5,0,4244.5,29283,0.01707475326981525,0.0
92139,5,1,2358.742,36351,0.013754779785975625,20.0
92173,5,1,2961.492,28488,0.017551249648975007,20.0
92203,5,0,4814.678,2743,0.18228217280349981,0.0
90048,5,2,2738.7740000000003,21739,0.023000138000828004,40.0
90004,5,2,1898.8080000000002,67852,0.007368979543712787,40.0
90003,5,1,1503.0520000000001,58198,0.008591360527853191,20.0
90012,5,1,1938.8020000000001,30596,0.016342005490913844,20.0
90013,5,2,2997.182,9732,0.05137690094533497,40.0
90015,5,1,3465.682,15140,0.03302509907529723,20.0
90018,5,0,3764.9660000000003,47143,0.010606028466580405,0.0
90021,5,0,4943.125999999999,3012,0.16600265604249667,0.0
90022,5,1,2563.968,68701,0.007277914440837834,20.0
90023,5,2,3226.7780000000002,47487,0.01052919746456925,40.0
90007,5,2,2683.432,45025,0.01110494169905608,40.0
90006,5,1,1095.3960000000002,62784,0.0079638124362895,20.0
92064,5,1,5178.0779999999995,47969,0.010423398444828952,20.0
92127,5,1,1980.216,20046,0.024942631946522995,20.0
92128,5,1,1219.31,42733,0.011700559286733905,20.0
90008,5,0,2588.5199999999995,30852,0.016206404771165566,0.0
90027,5,2,964.6939999999998,48727,0.010261251462228333,40.0
90049,5,2,2499.052,33523,0.014915132893834084,40.0
90056,5,3,1466.384,8115,0.06161429451632779,60.0
90057,5,1,3270.1400000000003,44004,0.011362603399690937,20.0
90058,5,2,5276.17,3642,0.1372872048325096,40.0
90059,5,3,2909.776,38128,0.01311372219890894,60.0
90061,5,1,3402.862,24511,0.020399004528579005,20.0
90062,5,3,662.384,29299,0.017065428854227106,60.0
90063,5,2,4398.974,55668,0.008981820794711505,40.0
90024,5,3,1220.9779999999998,44150,0.011325028312570781,60.0
90025,5,1,4568.134,41175,0.012143290831815423,20.0
90026,5,1,1646.036,73686,0.006785549493798008,20.0
90011,5,1,4123.969999999999,101215,0.004939979252087141,20.0
90029,5,2,803.496,41713,0.011986670822045884,40.0
90031,5,1,2985.9399999999996,38415,0.013015749056358194,20.0
90040,5,0,2926.798,9805,0.05099439061703213,0.0
96019,4,1,4228.429999999999,6277,0.06372470925601402,25.0
96107,4,0,3523.3125,1332,0.3003003003003003,0.0
96125,4,3,2613.4325,348,1.1494252873563218,75.0
90014,4,1,3925.4125,3524,0.11350737797956867,25.0
90016,4,1,923.4200000000001,46984,0.008513536523071684,25.0
90017,4,1,2940.1975,20692,0.019331142470520007,25.0
90019,4,0,3936.455,67520,0.0059241706161137445,0.0
90005,4,2,3033.73,43019,0.009298217066877426,50.0
90002,4,0,2748.305,44586,0.008971426008163998,0.0
90001,4,1,2577.9425,54492,0.007340527049842179,25.0
95987,4,2,1265.8149999999998,4579,0.08735531775496833,50.0
95986,4,0,3342.0225,145,2.7586206896551726,0.0
96148,4,2,2666.64,678,0.5899705014749262,50.0
91601,4,3,1513.5675,36625,0.010921501706484642,75.0
96034,4,0,5248.75,392,1.0204081632653061,0.0
96033,4,0,2199.1925,373,1.0723860589812333,0.0
96031,4,0,4727.72,170,2.3529411764705883,0.0
96029,4,1,1834.9725,84,4.761904761904762,25.0
96028,4,1,606.9725000000001,1902,0.2103049421661409,25.0
96027,4,1,4112.842500000001,2156,0.1855287569573284,25.0
96025,4,1,995.53,2602,0.15372790161414296,25.0
96024,4,2,3170.79,960,0.4166666666666667,50.0
96023,4,1,1783.5225,1162,0.34423407917383825,25.0
96022,4,1,1734.69,12348,0.032393909944930355,25.0
96021,4,1,5444.0125,13840,0.028901734104046246,25.0
96020,4,0,3258.2000000000003,2664,0.15015015015015015,0.0
96105,4,0,2327.3,650,0.6153846153846154,0.0
96104,4,0,2171.6375,857,0.4667444574095682,0.0
96103,4,1,1345.83,1839,0.2175095160413268,25.0
96097,4,0,4366.9175000000005,9538,0.04193751310547285,0.0
96096,4,1,6469.370000000001,843,0.4744958481613286,25.0
96094,4,0,5880.485,5896,0.06784260515603799,0.0
96093,4,2,2147.64,3749,0.10669511869831955,50.0
96091,4,2,3647.945,734,0.544959128065395,50.0
96090,4,0,3183.4725,405,0.9876543209876543,0.0
96088,4,1,4849.2575,4231,0.09454029780193808,25.0
92026,4,0,2382.1825,43436,0.009208951100469657,0.0
92116,4,0,6047.93,33083,0.012090801922437505,0.0
92115,4,1,3767.365,56887,0.0070314834672244985,25.0
96085,4,0,3936.9674999999997,88,4.545454545454546,0.0
92110,4,1,2103.5474999999997,24169,0.016550126194712234,25.0
92102,4,0,3844.0924999999997,47140,0.00848536274925753,0.0
92024,4,1,2097.0625,47126,0.008487883546237746,25.0
92021,4,0,3993.02,61872,0.0064649599172485125,0.0
92020,4,0,4979.8975,55277,0.007236282721565931,0.0
92019,4,0,2155.56,40995,0.009757287474082204,0.0
92009,4,1,1477.8825000000002,43161,0.009267625865943792,25.0
92008,4,1,2593.765,35582,0.011241639030970715,25.0
92007,4,0,5696.625,10375,0.038554216867469876,0.0
92078,4,1,2918.875,6760,0.0591715976331361,25.0
92075,4,1,4199.7725,12173,0.032859607327692435,25.0
92069,4,0,3336.0674999999997,52664,0.007595321282090233,0.0
92201,4,2,2493.8375,56307,0.007103912479798249,50.0
92154,4,1,1543.9025,68776,0.00581598231941375,25.0
92259,4,1,3797.9475,471,0.8492569002123143,25.0
92258,4,2,2746.9750000000004,732,0.546448087431694,50.0
92252,4,0,3365.8250000000003,8141,0.04913401302051345,0.0
96106,4,0,3795.4024999999997,88,4.545454545454546,0.0
91948,4,2,3757.58,81,4.938271604938271,50.0
91932,4,1,1962.9275,26662,0.015002625459455406,25.0
91931,4,2,2203.9,796,0.5025125628140703,50.0
92040,4,0,4280.6625,42277,0.009461409276911796,0.0
92037,4,0,2837.42,42617,0.009385925804256517,0.0
92036,4,1,1437.305,3577,0.11182555213866369,25.0
92029,4,1,3288.2025,17944,0.02229157378510923,25.0
91917,4,0,4472.13,727,0.5502063273727648,0.0
91915,4,1,6319.7300000000005,9278,0.04311273981461522,25.0
91914,4,0,3883.965,2606,0.15349194167306215,0.0
92240,4,0,3379.5175,22796,0.017546938059308653,0.0
92236,4,0,2730.7850000000003,23170,0.017263703064307294,0.0
92283,4,0,3376.4975,3663,0.10920010920010921,0.0
92281,4,1,2950.21,2388,0.16750418760469013,25.0
92274,4,1,2308.0475,17018,0.02350452462098954,25.0
92225,4,0,1787.22,24659,0.016221257958554686,0.0
96069,4,2,896.32,829,0.48250904704463204,50.0
96068,4,1,2560.05,240,1.6666666666666667,25.0
96067,4,0,2593.8875,7309,0.054727048843891096,0.0
96065,4,0,3282.155,431,0.9280742459396751,0.0
92273,4,3,2088.52,1632,0.24509803921568626,75.0
92267,4,0,4749.6925,131,3.0534351145038165,0.0
92262,4,1,1319.4250000000002,24924,0.016048788316482106,25.0
92325,4,2,2486.805,10484,0.03815337657382679,50.0
92324,4,1,3200.055,52202,0.007662541665070304,25.0
92321,4,1,1316.52,455,0.8791208791208791,25.0
92320,4,1,1879.5600000000002,7334,0.0545404963185165,25.0
92315,4,0,4066.6075,5447,0.07343491830365338,0.0
92313,4,0,4556.9875,11024,0.036284470246734396,0.0
92310,4,0,1865.8725,9465,0.04226096143687269,0.0
92309,4,1,826.4549999999999,904,0.4424778761061947,25.0
92251,4,1,3948.4875,14546,0.027498968788670426,25.0
92308,4,1,3656.51,28819,0.013879732121170062,25.0
92305,4,1,186.18,301,1.3289036544850499,25.0
91775,4,1,2685.325,23444,0.017061934823408977,25.0
91910,4,1,2111.9325,74025,0.0054035798716649775,25.0
91906,4,2,902.37,3133,0.12767315671879986,50.0
91902,4,1,3061.9625,17389,0.02300304790384726,25.0
91801,4,1,961.9775,54382,0.007355374940237578,25.0
92003,4,1,1666.1650000000002,3849,0.10392309690828788,25.0
92285,4,0,3410.6625,2182,0.18331805682859761,0.0
96084,4,1,1841.1175,459,0.8714596949891068,25.0
96080,4,2,3751.8525,26438,0.01512973749905439,50.0
96076,4,1,1093.1025,215,1.8604651162790697,25.0
96075,4,1,2311.2275,433,0.9237875288683602,25.0
96074,4,3,1655.42,263,1.520912547528517,75.0
96073,4,2,4466.29,4931,0.08111944838775097,50.0
96071,4,3,1202.2250000000001,182,2.197802197802198,75.0
96063,4,2,4847.04,124,3.225806451612903,50.0
96062,4,0,2390.7000000000003,830,0.48192771084337355,0.0
96061,4,1,4364.79,78,5.128205128205128,25.0
96059,4,0,3585.8199999999997,598,0.6688963210702341,0.0
96058,4,0,3559.7275,816,0.49019607843137253,0.0
92354,4,0,2438.3250000000003,18068,0.022138587558113793,0.0
92352,4,0,2672.9300000000003,9793,0.04084550188910446,0.0
92347,4,1,1007.9275,1933,0.20693222969477496,25.0
92345,4,0,3355.4975,68515,0.005838137634094724,0.0
92342,4,0,3994.8525,4948,0.08084074373484236,0.0
92339,4,0,4141.2,958,0.41753653444676403,0.0
92337,4,2,1998.845,29847,0.01340168191107984,50.0
92336,4,1,2103.87,54586,0.007327886271205071,25.0
92335,4,0,3440.9,82630,0.0048408568316592035,0.0
92333,4,1,4522.385,414,0.966183574879227,25.0
92332,4,0,4491.015,115,3.4782608695652173,0.0
92328,4,0,4469.665,443,0.9029345372460496,0.0
92327,4,1,551.6600000000001,678,0.5899705014749262,25.0
92392,4,1,4348.935,63235,0.006325610816794497,25.0
92386,4,1,2655.1025,1834,0.21810250817884408,25.0
92384,4,1,3341.37,87,4.597701149425287,25.0
92382,4,3,3464.7675,5395,0.07414272474513438,75.0
92377,4,2,400.655,18518,0.021600604816934876,50.0
