antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'電影節目', '網路類型_Fiber Optic'})","frozenset({'音樂節目', '多線路服務'})",0.21302250803858522,0.20069667738478028,0.1422829581993569,0.6679245283018868,3.3280298259314303,1.0,0.0995300486278402,2.406992960148105,0.8888715761692337,0.5241855873642645,0.5845438617575064,0.6884348943245081
"frozenset({'音樂節目', '網路類型_Fiber Optic'})","frozenset({'電影節目', '多線路服務'})",0.21302250803858522,0.20069667738478028,0.1422829581993569,0.6679245283018868,3.3280298259314303,1.0,0.0995300486278402,2.406992960148105,0.8888715761692337,0.5241855873642645,0.5845438617575064,0.6884348943245081
"frozenset({'電影節目', '無限資料下載', '多線路服務'})","frozenset({'電話服務', '電視節目', '音樂節目'})",0.17282958199356913,0.22936763129689175,0.13183279742765272,0.7627906976744185,3.325624864159965,1.0,0.09219128558775583,3.248744299434671,0.8454178419335212,0.487611496531219,0.6921887634634666,0.6687785264073027
"frozenset({'音樂節目', '無限資料下載', '多線路服務'})","frozenset({'電話服務', '電視節目', '電影節目'})",0.17282958199356913,0.22936763129689175,0.13183279742765272,0.7627906976744185,3.325624864159965,1.0,0.09219128558775583,3.248744299434671,0.8454178419335212,0.487611496531219,0.6921887634634666,0.6687785264073027
"frozenset({'電影節目', '技術支援計劃'})","frozenset({'音樂節目', '設備保護計劃'})",0.17416934619506966,0.21195069667738478,0.1227224008574491,0.7046153846153846,3.3244306136341537,1.0,0.08580708659155947,2.667875245623437,0.8466585810268952,0.46592065106815866,0.6251698794235346,0.6418146455314597
"frozenset({'音樂節目', '技術支援計劃'})","frozenset({'電影節目', '設備保護計劃'})",0.17416934619506966,0.21195069667738478,0.1227224008574491,0.7046153846153846,3.3244306136341537,1.0,0.08580708659155947,2.667875245623437,0.8466585810268952,0.46592065106815866,0.6251698794235346,0.6418146455314597
"frozenset({'電話服務', '電視節目', '無限資料下載', '電影節目'})","frozenset({'音樂節目', '網路類型_Fiber Optic'})",0.20284030010718113,0.21302250803858522,0.1420150053590568,0.7001321003963012,3.2866578599735803,1.0,0.09880545589892578,2.6244139269374056,0.8727731092436976,0.5185909980430529,0.6189625463666995,0.683399383531484
"frozenset({'電話服務', '音樂節目', '電視節目', '無限資料下載'})","frozenset({'電影節目', '網路類型_Fiber Optic'})",0.20284030010718113,0.21302250803858522,0.1420150053590568,0.7001321003963012,3.2866578599735803,1.0,0.09880545589892578,2.6244139269374056,0.8727731092436976,0.5185909980430529,0.6189625463666995,0.683399383531484
"frozenset({'電影節目', '網路類型_Fiber Optic'})","frozenset({'電話服務', '音樂節目', '電視節目', '無限資料下載'})",0.21302250803858522,0.20284030010718113,0.1420150053590568,0.6666666666666666,3.28665785997358,1.0,0.09880545589892578,2.3914790996784565,0.8840653728294179,0.5185909980430529,0.5818487394957983,0.683399383531484
"frozenset({'音樂節目', '網路類型_Fiber Optic'})","frozenset({'電話服務', '電視節目', '無限資料下載', '電影節目'})",0.21302250803858522,0.20284030010718113,0.1420150053590568,0.6666666666666666,3.28665785997358,1.0,0.09880545589892578,2.3914790996784565,0.8840653728294179,0.5185909980430529,0.5818487394957983,0.683399383531484
